Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net
[0mHTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/favicon.ico
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/upload
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/consulta
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/consulta
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/static/styles.css
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018014554.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018014423.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018014651.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018020537.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/favicon.ico
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/consulta
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/static/styles.css
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018014423.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018020537.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018014651.png
HTTP request from 143.137.74.57 to https://9237d62019f5555cc2aadb5b2c6f23e2.serveo.net/uploads/20231018014554.png
